month,day,hour,WD,WS
1,1,2.0,40.0,1.5
1,1,12.0,300.0,3.6
1,1,15.0,310.0,2.6
1,1,16.0,330.0,1.5
1,2,13.0,120.0,1.5
1,2,15.0,120.0,2.1
1,2,18.0,130.0,2.1
1,2,22.0,110.0,1.5
1,2,23.0,120.0,1.5
1,3,1.0,90.0,2.6
1,3,6.0,110.0,2.1
1,3,7.0,100.0,1.5
1,3,10.0,100.0,2.6
1,3,11.0,110.0,1.5
1,3,12.0,110.0,1.5
1,3,13.0,100.0,2.1
1,3,14.0,100.0,1.5
1,3,15.0,100.0,1.5
1,3,17.0,110.0,1.5
1,3,18.0,100.0,2.1
1,3,20.0,110.0,1.5
1,3,22.0,110.0,1.5
1,4,8.0,100.0,3.1
1,4,9.0,110.0,2.1
1,4,10.0,110.0,1.5
1,4,13.0,120.0,1.5
1,4,14.0,120.0,2.1
1,4,20.0,280.0,2.1
1,4,23.0,320.0,2.1
1,5,1.0,300.0,1.5
1,5,8.0,50.0,2.1
1,5,11.0,330.0,2.6
1,5,19.0,10.0,4.1
1,6,7.0,60.0,1.5
1,6,15.0,50.0,2.1
1,6,23.0,120.0,1.5
1,7,1.0,120.0,1.5
1,7,2.0,110.0,1.5
1,7,8.0,110.0,2.1
1,7,12.0,130.0,2.1
1,7,14.0,130.0,1.5
1,7,16.0,110.0,2.1
1,7,17.0,120.0,2.1
1,7,19.0,120.0,1.5
1,7,20.0,80.0,5.1
1,7,21.0,120.0,2.1
1,7,22.0,120.0,2.1
1,8,1.0,120.0,2.1
1,8,4.0,110.0,2.6
1,8,5.0,100.0,3.1
1,8,6.0,120.0,1.5
1,8,7.0,110.0,2.6
1,8,8.0,120.0,2.6
1,8,9.0,120.0,2.1
1,8,11.0,120.0,2.1
1,8,13.0,110.0,2.6
1,8,14.0,110.0,2.6
1,8,15.0,120.0,2.1
1,8,16.0,130.0,2.1
1,8,18.0,130.0,2.6
1,8,19.0,100.0,3.6
1,8,20.0,100.0,3.1
1,9,1.0,90.0,2.1
1,9,3.0,90.0,1.5
1,9,6.0,100.0,1.5
1,9,10.0,100.0,2.6
1,9,14.0,80.0,2.1
1,9,21.0,120.0,1.5
1,10,1.0,100.0,2.6
1,10,2.0,120.0,2.1
1,10,3.0,110.0,1.5
1,10,5.0,120.0,2.1
1,10,6.0,100.0,2.1
1,10,7.0,100.0,1.5
1,10,8.0,100.0,3.6
1,10,9.0,120.0,1.5
1,10,10.0,110.0,2.1
1,10,12.0,120.0,1.5
1,10,13.0,120.0,2.1
1,10,14.0,110.0,2.1
1,10,15.0,110.0,2.6
1,10,16.0,110.0,2.6
1,10,17.0,110.0,3.1
1,10,18.0,130.0,3.1
1,10,19.0,120.0,2.1
1,10,20.0,110.0,2.1
1,10,21.0,100.0,3.6
1,10,22.0,90.0,4.1
1,10,23.0,100.0,2.6
1,11,2.0,120.0,1.5
1,11,7.0,110.0,2.1
1,11,8.0,120.0,2.1
1,11,9.0,120.0,2.1
1,11,14.0,80.0,1.5
1,11,20.0,140.0,1.5
1,12,7.0,70.0,1.5
1,12,14.0,350.0,2.1
1,12,20.0,360.0,3.1
1,12,22.0,310.0,4.6
1,12,23.0,340.0,3.6
1,13,2.0,30.0,2.6
1,13,3.0,40.0,1.5
1,13,18.0,290.0,2.1
1,13,23.0,310.0,3.6
1,14,4.0,60.0,2.1
1,14,5.0,60.0,1.5
1,14,9.0,20.0,1.5
1,14,13.0,60.0,1.5
1,14,14.0,60.0,1.5
1,15,9.0,330.0,1.5
1,15,19.0,290.0,3.6
1,15,20.0,290.0,3.1
1,15,21.0,290.0,3.6
1,16,1.0,290.0,2.1
1,16,7.0,40.0,1.5
1,16,9.0,50.0,2.1
1,16,10.0,50.0,2.1
1,16,13.0,60.0,2.1
1,16,14.0,340.0,2.1
1,16,16.0,60.0,2.6
1,16,17.0,60.0,1.5
1,16,19.0,310.0,2.1
1,17,3.0,50.0,1.5
1,17,7.0,350.0,1.5
1,17,13.0,80.0,3.1
1,17,14.0,70.0,2.6
1,17,15.0,60.0,2.1
1,17,22.0,130.0,2.6
1,17,23.0,120.0,2.1
1,18,1.0,100.0,5.1
1,18,6.0,130.0,2.1
1,18,7.0,100.0,4.1
1,18,8.0,120.0,2.1
1,18,9.0,120.0,3.1
1,18,10.0,120.0,2.6
1,18,12.0,120.0,2.6
1,18,13.0,130.0,3.6
1,18,15.0,140.0,2.1
1,18,16.0,130.0,2.6
1,18,18.0,110.0,3.6
1,18,20.0,140.0,2.6
1,18,21.0,140.0,2.1
1,18,23.0,130.0,1.5
1,19,2.0,110.0,2.6
1,19,4.0,100.0,2.6
1,19,5.0,110.0,1.5
1,19,7.0,140.0,1.5
1,19,12.0,130.0,1.5
1,19,21.0,110.0,2.1
1,20,1.0,120.0,2.1
1,20,3.0,120.0,3.1
1,20,4.0,120.0,2.1
1,20,5.0,130.0,2.1
1,20,9.0,140.0,2.6
1,20,11.0,120.0,1.5
1,20,17.0,110.0,1.5
1,21,3.0,130.0,1.5
1,21,6.0,130.0,1.5
1,21,7.0,110.0,2.1
1,21,8.0,120.0,1.5
1,21,9.0,110.0,2.1
1,21,10.0,110.0,2.1
1,21,13.0,110.0,1.5
1,21,14.0,100.0,3.1
1,21,16.0,120.0,2.1
1,21,20.0,130.0,2.6
1,21,21.0,120.0,2.6
1,21,22.0,130.0,2.6
1,21,23.0,110.0,2.1
1,22,1.0,120.0,2.1
1,22,3.0,130.0,1.5
1,22,4.0,120.0,2.1
1,22,5.0,130.0,2.6
1,22,9.0,130.0,3.1
1,22,12.0,130.0,2.6
1,22,14.0,120.0,2.1
1,22,15.0,130.0,2.1
1,22,17.0,120.0,1.5
1,22,20.0,110.0,1.5
1,22,21.0,90.0,3.6
1,22,22.0,110.0,2.1
1,23,19.0,130.0,1.5
1,24,14.0,60.0,1.5
1,24,15.0,60.0,2.1
1,24,16.0,80.0,2.1
1,24,18.0,300.0,1.5
1,24,20.0,280.0,2.1
1,24,21.0,290.0,2.6
1,24,23.0,280.0,2.1
1,25,1.0,330.0,2.1
1,25,4.0,50.0,1.5
1,25,10.0,50.0,1.5
1,25,21.0,300.0,2.1
1,25,23.0,310.0,1.5
1,26,12.0,50.0,1.5
1,26,17.0,300.0,1.5
1,26,21.0,280.0,3.1
1,26,23.0,290.0,2.1
1,27,1.0,290.0,2.1
1,27,2.0,310.0,1.5
1,27,12.0,330.0,2.1
1,27,21.0,320.0,2.6
1,28,1.0,300.0,2.1
1,28,15.0,320.0,1.5
1,28,17.0,320.0,2.6
1,28,20.0,310.0,3.1
1,28,21.0,300.0,2.6
1,29,5.0,50.0,1.5
1,29,7.0,60.0,1.5
1,29,8.0,40.0,1.5
1,29,13.0,40.0,1.5
1,29,14.0,80.0,2.1
1,29,16.0,50.0,1.5
1,29,18.0,320.0,1.5
1,29,20.0,310.0,2.6
1,29,21.0,320.0,2.6
1,30,5.0,20.0,1.5
1,30,6.0,40.0,1.5
1,30,7.0,50.0,1.5
1,30,9.0,60.0,1.5
1,30,11.0,50.0,2.1
1,30,16.0,50.0,2.1
1,30,19.0,310.0,2.6
1,30,22.0,330.0,2.1
1,30,23.0,320.0,2.6
1,31,2.0,50.0,1.5
1,31,3.0,50.0,1.5
1,31,5.0,60.0,1.5
1,31,9.0,70.0,1.5
1,31,14.0,50.0,2.6
1,31,17.0,70.0,2.1
2,1,2.0,60.0,1.5
2,1,3.0,80.0,1.5
2,1,4.0,70.0,1.5
2,2,4.0,100.0,2.6
2,2,14.0,120.0,2.1
2,2,15.0,130.0,2.1
2,3,2.0,140.0,2.6
2,3,3.0,100.0,3.6
2,3,4.0,100.0,3.6
2,3,5.0,100.0,2.6
2,3,6.0,120.0,1.5
