StationID,StationName,StateName,EPA_Region_ID,State_GeoID,CBSA_Name,CBSA_GeoID,County_GeoID,Latitude,Longitude,CountyName,StateAbbrName,EPA_Region_Name,Elevation
USW00004847,ADRIAN LENAWEE CO AP,Michigan,5,26,"Adrian, MI",10300,26091,41.8678,-84.0794,Lenawee County,MI,EPA Region 5,242.6
USW00014910,ALEXANDRIA MUNI AP,Minnesota,5,27,"Alexandria, MN",10820,27041,45.8678,-95.3942,Douglas County,MN,EPA Region 5,431.6
USW00094849,ALPENA CO RGNL AP,Michigan,5,26,"Alpena, MI",10980,26007,45.0717,-83.5644,Alpena County,MI,EPA Region 5,208.5
USW00094989,AMES MUNI AP,Iowa,7,19,"Ames, IA",11180,19169,41.9922,-93.6217,Story County,IA,EPA Region 7,283.5
USW00094889,ANN ARBOR MUNI AP,Michigan,5,26,"Ann Arbor, MI",11460,26161,42.2228,-83.7444,Washtenaw County,MI,EPA Region 5,255.7
USW00094929,ASHLAND KENNEDY MEM AP,Wisconsin,5,55,,,55003,46.5486,-90.9189,Ashland County,WI,EPA Region 5,251.8
USW00014930,ATLANTIC CAA AP,Iowa,7,19,,,19029,41.45,-95.0667,Cass County,IA,EPA Region 7,353
USW00014815,BATTLE CREEK KELLOGG AP,Michigan,5,26,"Battle Creek, MI",12980,26025,42.3075,-85.2511,Calhoun County,MI,EPA Region 5,282.9
USW00094961,BAUDETTE INTL AP,Minnesota,5,27,,,27077,48.7167,-94.6,Lake of the Woods County,MN,EPA Region 5,329.8
USW00094871,BENTON HARBOR AP,Michigan,5,26,"Niles-Benton Harbor, MI",35660,26021,42.1244,-86.4267,Berrien County,MI,EPA Region 5,196
USW00094994,BOSCOBEL AP,Wisconsin,5,55,"Platteville, WI",38420,55043,43.1561,-90.6775,Grant County,WI,EPA Region 5,204.8
USW00094938,BRAINERD CROW WING CO AP,Minnesota,5,27,"Brainerd, MN",14660,27035,46.4047,-94.1308,Crow Wing County,MN,EPA Region 5,372.2
USW00014931,BURLINGTON MUNI AP,Iowa,7,19,"Burlington, IA-IL",15460,19057,40.7833,-91.1253,Des Moines County,IA,EPA Region 7,210.9
